word,count,probability
1,14,0.0009117551286225985
1.A,1,6.512536633018561e-05
1.B,1,6.512536633018561e-05
1.C,2,0.00013025073266037122
1.D,1,6.512536633018561e-05
1.E,2,0.00013025073266037122
1.E.1,5,0.00032562683165092806
1.E.2,1,6.512536633018561e-05
1.E.3,1,6.512536633018561e-05
1.E.4,1,6.512536633018561e-05
1.E.5,1,6.512536633018561e-05
1.E.6,1,6.512536633018561e-05
1.E.7,3,0.00019537609899055683
1.E.8,4,0.00026050146532074245
1.E.9,3,0.00019537609899055683
1.F,1,6.512536633018561e-05
1.F.1,1,6.512536633018561e-05
1.F.2,1,6.512536633018561e-05
1.F.3,5,0.00032562683165092806
1.F.4,1,6.512536633018561e-05
1.F.5,1,6.512536633018561e-05
1.F.6,1,6.512536633018561e-05
100,3,0.00019537609899055683
12,3,0.00019537609899055683
1500,1,6.512536633018561e-05
1596-1650,1,6.512536633018561e-05
15th,3,0.00019537609899055683
1646-1716,1,6.512536633018561e-05
1685-1753,1,6.512536633018561e-05
16th,2,0.00013025073266037122
1711-76,1,6.512536633018561e-05
1724-1804,1,6.512536633018561e-05
1770-1831,1,6.512536633018561e-05
1912,1,6.512536633018561e-05
2,10,0.0006512536633018561
20,1,6.512536633018561e-05
2001,1,6.512536633018561e-05
2004,1,6.512536633018561e-05
2019,1,6.512536633018561e-05
3,6,0.00039075219798111367
30,1,6.512536633018561e-05
4,3,0.00019537609899055683
5,4,0.00026050146532074245
"5,000",1,6.512536633018561e-05
50,1,6.512536633018561e-05
501(c)(3,1,6.512536633018561e-05
5827,1,6.512536633018561e-05
596-1887,1,6.512536633018561e-05
60,1,6.512536633018561e-05
64-6221541,1,6.512536633018561e-05
7,2,0.00013025073266037122
801,1,6.512536633018561e-05
809,1,6.512536633018561e-05
84116,1,6.512536633018561e-05
90,2,0.00013025073266037122
A,39,0.0025398892868772386
ACQUAINTANCE,1,6.512536633018561e-05
ACTUAL,1,6.512536633018561e-05
AGREE,2,0.00013025073266037122
AGREEMENT,1,6.512536633018561e-05
AND,5,0.00032562683165092806
ANY,3,0.00019537609899055683
ANYTHING,1,6.512536633018561e-05
APPEARANCE,1,6.512536633018561e-05
AS-IS,1,6.512536633018561e-05
ASCII,2,0.00013025073266037122
About,1,6.512536633018561e-05
Absolute,4,0.00026050146532074245
According,3,0.00019537609899055683
Acquaintance,1,6.512536633018561e-05
Additional,1,6.512536633018561e-05
After,1,6.512536633018561e-05
Again,3,0.00019537609899055683
Against,1,6.512536633018561e-05
All,22,0.0014327580592640833
Almost,1,6.512536633018561e-05
Also,2,0.00013025073266037122
Although,2,0.00013025073266037122
Among,5,0.00032562683165092806
An,2,0.00013025073266037122
And,23,0.001497883425594269
Another,3,0.00019537609899055683
Any,3,0.00019537609899055683
Apart,4,0.00026050146532074245
Archive,13,0.0008466297622924129
Are,1,6.512536633018561e-05
As,10,0.0006512536633018561
Assuming,3,0.00019537609899055683
At,5,0.00032562683165092806
Atheists,1,6.512536633018561e-05
Author,1,6.512536633018561e-05
Awareness,1,6.512536633018561e-05
B,21,0.0013676326929338977
BE,1,6.512536633018561e-05
BEFORE,1,6.512536633018561e-05
BIBLIOGRAPHICAL,1,6.512536633018561e-05
BREACH,2,0.00013025073266037122
BUT,1,6.512536633018561e-05
BY,2,0.00013025073266037122
Balfour,2,0.00013025073266037122
Bannerman,1,6.512536633018561e-05
Because,1,6.512536633018561e-05
Before,7,0.0004558775643112992
Berkeley,21,0.0013676326929338977
Berkeley's,5,0.00032562683165092806
Bertrand,3,0.00019537609899055683
Between,1,6.512536633018561e-05
Beyond,1,6.512536633018561e-05
Bishop,2,0.00013025073266037122
Bismarck,15,0.0009768804949527841
Bismarck's,1,6.512536633018561e-05
Books,1,6.512536633018561e-05
Both,1,6.512536633018561e-05
Bradley,1,6.512536633018561e-05
British,1,6.512536633018561e-05
Broadly,1,6.512536633018561e-05
Brown,6,0.00039075219798111367
But,119,0.007749918593292087
By,11,0.0007163790296320417
C,3,0.00019537609899055683
C's,1,6.512536633018561e-05
CHAPTER,15,0.0009768804949527841
